400
320,1
319,4
318,3
317,3
316,3
315,2
314,3
313,4
312,2
311,4
310,3
309,3
308,3
307,3
306,1
305,4
304,2
303,3
302,3
301,2
300,3
299,4
298,1
297,2
296,3
294,2
293,4
292,2
291,1
290,5
289,2
288,4
287,4
286,4
285,4
284,6
283,8
282,2
281,3
280,5
279,3
278,3
277,4
276,7
275,3
274,3
273,1
272,6
271,1
270,3
269,7
268,4
267,3
266,2
265,3
264,5
263,8
262,1
261,3
260,3
259,3
258,3
257,4
256,2
255,2
254,2
253,6
252,5
251,1
250,1
249,4
248,2
247,2
246,4
245,1
244,2
243,3
242,4
241,4
240,5
239,2
238,2
237,2
236,3
235,1
234,4
233,2
232,1
231,2
229,2
228,5
227,3
226,2
225,1
224,2
223,5
222,3
221,2
219,5
218,2
217,4
216,4
215,5
214,4
213,4
212,4
211,7
210,2
209,2
208,8
207,2
206,2
205,1
204,6
203,2
202,3
201,1
200,4
199,3
198,6
197,1
196,2
195,1
194,5
193,1
192,3
191,5
190,3
189,2
188,3
187,5
186,4
185,1
184,7
183,3
182,5
181,2
180,1
179,6
178,4
177,1
176,3
175,3
174,4
173,3
172,7
171,3
170,1
168,1
167,2
166,6
165,3
163,3
161,2
160,6
159,5
158,5
157,6
156,1
155,4
154,2
153,2
152,5
151,3
150,3
149,5
148,3
146,7
145,2
144,3
143,3
141,5
140,5
139,4
138,2
137,4
136,4
135,2
133,3
132,5
131,4
130,5
129,3
128,2
127,1
126,1
125,2
124,6
123,6
122,3
121,2
120,3
119,1
118,3
117,4
116,4
115,1
114,4
113,1
112,2
111,6
110,1
109,2
108,1
107,4
106,4
105,3
104,5
103,2
102,6
101,3
99,3
97,7
96,3
95,4
94,2
93,5
92,6
91,4
90,2
89,2
88,3
87,4
86,1
85,5
84,3
83,4
82,3
81,5
80,1
