400
280,2
279,4
277,2
276,1
274,2
273,2
272,1
271,7
270,1
269,1
268,2
267,5
266,4
265,5
264,2
263,2
262,4
261,4
260,4
259,2
258,1
257,2
256,2
255,3
254,5
253,1
252,2
251,4
250,2
249,2
248,1
247,6
246,5
245,5
243,4
242,3
241,2
240,5
239,5
238,3
237,2
235,6
234,4
233,4
232,1
230,3
228,3
227,2
226,2
225,3
224,4
223,2
222,5
221,3
220,2
219,7
217,5
216,1
215,2
214,4
212,1
211,1
210,5
209,2
208,2
207,2
206,1
204,2
203,4
202,1
201,1
200,4
198,2
197,4
195,2
194,3
193,5
192,2
191,1
190,3
189,2
188,1
187,2
186,7
185,5
184,3
183,2
182,5
181,2
180,3
179,5
178,1
176,7
175,1
174,2
173,1
172,3
171,3
170,3
169,5
168,2
167,2
165,1
164,2
163,2
162,1
161,5
160,1
159,1
158,1
157,3
156,2
155,4
154,1
152,2
151,5
150,4
149,3
148,1
147,1
146,2
145,6
143,1
142,2
141,1
140,1
139,2
138,1
137,4
136,1
135,3
134,5
133,3
132,1
131,2
130,2
129,3
128,2
127,2
126,2
125,3
124,3
123,3
122,3
121,5
120,5
119,4
118,4
117,5
115,2
114,3
113,1
110,4
109,5
108,1
107,1
104,2
102,8
101,1
100,3
99,1
98,4
97,3
96,2
95,2
94,3
92,4
91,3
89,1
88,3
87,4
85,3
84,5
83,3
82,2
81,3
80,2
